AL Alabama 350-369
AK Alaska 995-999
AS American Samoa
AZ Arizona 850-865
AR Arkansas 716-729
CA California 900-966
CO Colorado 800-816
CT Connecticut 060-069
DE Delaware 197-199
DC District of
FM FS of
FL Florida 320-349
GA Georgia 300-319
GU Guam 969-969
HI Hawaii 967-968
ID Idaho 832-838
IL Illinois 600-629
IN Indiana 460-479
IA Iowa 500-528
KS Kansas 660-679
KY Kentucky 400-427
LA Louisiana 700-714
ME Maine 039-049
MH Marshall Islands
MD Maryland 206-219
MA Massachusetts 010-027
MI Michigan 480-499
MN Minnesota 550-567
MS Mississippi 386-397
MO Missouri 630-658
MT Montana 590-599
NE Nebraska 680-693
NV Nevada 889-898
NH New Hampshire
NJ New Jersey
NM New Mexico
NY New York
NC North Carolina
ND North Dakota
MP N. Mariana
OH Ohio 430-459
OK Oklahoma 730-749
OR Oregon 970-979
PW Palau Island
PA Pennsylvania 150-196
PR Puerto Rico
RI Rhode Island
SC South Carolina
SD South Dakota
TN Tennessee 370-385
TX Texas 750-799
UT Utah 840-847
VT Vermont 050-059
VA Virginia 201
VI Virgin Islands
WA Washington 980-994
WI Wisconsin 530-549
WV West Virginia
WY Wyoming 820-831
